04.09.2014,Zentrale,Vase,"","Geschenkelager"
08.09.2014,Zentrale,Vase,"","Geschenkelager"
23.09.2014,Zentrale,Tee,"","Geschenkelager"
07.10.2014,Zentrale,Münze,"","Geschenkelager"
10.11.2014,Zentrale,Teller,"","Geschenkelager"
19.01.2015,Zentrale,"Korkenzieher/ Flaschenverschluss","","Geschenkelager"
26.11.2014,Zentrale,Gemälde von Klavdij Tutta,"","Geschenkelager"
02.12.2014,Zentrale,"Schale, 19cm Durchmesser, 24 Karat gold","","Geschenkelager"
22.01.2015,Zentrale,Musikinstrument (Laute) Holz/Messing,"","Geschenkelager"
22.01.2015,Zentrale,Blumenvase,"","Geschenkelager"
23.01.2015,Zentrale,"Vogelkäfig, silber","","Geschenkelager"
23.01.2015,Zentrale,"Duftflakon, silber","","Geschenkelager"
23.01.2015,Zentrale,"Bäumchen, silber auf Mamorplatte","","Geschenkelager"
24.01.2015,Zentrale,Kachel im Rahmen/Bild,"","Geschenkelager"
24.01.2015,Zentrale,"Tuareg-Kreuze, silber","",VZ-BM
20.01.2015,Zentrale,"2 Espresso-Tassen, silber/Messing","","Geschenkelager"
06.02.2015,Zentrale,Celadon Incense Burner,"","Geschenkelager"
05.02.2015,Zentrale,"""Verfassung von Europa"" Wojciech Jastrzebowski","","Geschenkelager"
12.02.2015,Zentrale,"gerahmtes Foto, schwarz-weiß","","Verpackung im Geschenkelager, Foto bei 010-6"
19.02.2015,Zentrale,"gerahmtes Bild, Masken, schwarz-weiß","","013-2 Raum 1.0.43"
22.02.2015,Zentrale,"gerahmtes Bild, Dorf-Szene","","Geschenkelager"
20.02.2015,Zentrale,"gerahmtes Bild, Händedruck","","Geschenkelager"
16.02.2015,Zentrale,"Vase, Stroh, goldfarben","","Geschenkelager"
12.02.2015,Zentrale,Bastkorb mit Ton-Kerzenständer,"","Geschenkelager"
14.02.2015,Zentrale,Holzdose mit Silberdeckel,"","Geschenkelager"
16.05.2008,Zentrale,Porzellantassenset,"","Geschenkelager"
18.06.2007,Zentrale,"Vase aus Kupfer und silber, kürbisförmig","","Geschenkelager"
25.01.2007,Zentrale,2 Bronzestatuen ca. 40cm blau/gold,"","Geschenkelager"
???,Zentrale,"Wandschmuck, Pelzdecke zum Aufhängen","","Geschenkelager"
23.05.2006,Zentrale,2 Schlüsselanhänger,"","Geschenkelager"
15.03.2007,Zentrale,Bilderrahmen 19x24cm,"","Geschenkelager"
24.07.2008,Zentrale,"Silberne Schale mit der Eingravierung: United States Senate","","Geschenkelager"
19.02.2007,Zentrale,"Batteriebetriebene Ölförderanlage auf Holzsockel, spielt Musik ab, Größe 60x15cm","","Geschenkelager"
01.07.1905,Zentrale,Teller inkl Aufsteller,"","Geschenkelager"
01.07.1905,Zentrale,Tablett,"","Geschenkelager"
???,Zentrale,2 Messer ca. 30cm lang,"","Geschenkelager"
28.03.2007,Zentrale,Bild 40x30cm,"","Geschenkelager"
09.03.2006,Zentrale,"Standsymbol, silber, unten geöffnet, evtl. zum Aufstekcen, 19x30cm","","Geschenkelager"
???,Zentrale,Bild/Seidendruck auf Karton,"","Geschenkelager"
28.03.2007,Zentrale,Bild 30x20cm,"","Geschenkelager"
25.04.2006,Zentrale,Bild (kaputt),"","Geschenkelager"
11.06.2007,Zentrale,"Wandtellerset, Blech, 5-teilig, mit verschiedenen Motiven libyscher Landschaften","","Geschenkelager"
